comment,replies,date,user_name
"If cus had just lived for 5 more years, there would be zero debate about who the greatest heavyweight ever was.","[""I was just thinking 10 years... It would've been a totally different timeline SMH"", ""Agreed . But don't forget ali was the most adaptle fighter in history.  Don't forget ali also fought a monster (George formen) none the less I still think tyson beats ali. Tyson was way to well trained and freakish genetics . Tyson is the goat.  We have not seen abilities and offensive capabilities and insane defense and counters  in boxing like Tyson.""]",2023-10-02T22:26:43Z,@giusepperesponte8077
Iron mike was invincible in the 80s only james quick and tony tucker was the only give tyson in the 80s bonecrusher smith was scared to death he hugged tyson all rounds tyson punished green mitch all 10 rounds also jose ribalta,[],2023-09-21T10:53:52Z,@ruzcelbeltran
Mike you are the greatest boxer ever the GOAT,[],2023-09-12T21:19:44Z,@frankdavis-rz3uy
I will say this confidently without an ounce of hesitation. Mike Tyson in his prime would beat any heavyweight the world has seen.,[],2023-09-05T12:48:42Z,@famequesttv
Booom... Perfect Timing.,[],2023-08-04T14:56:01Z,@willnailer2118
"I don't know why this video is showing the Bruno fight talking about the Seldon fight, lol",[],2023-07-30T20:03:53Z,@IWannatalkpodcast
A 21 year old Tyson was pretty much unbeatable,[],2023-07-30T19:38:57Z,@IWannatalkpodcast
"13:01 she act like she doesn't know wtf u married him for his money girl and
I wanna be a boxer so i could beat Don king to dead becoz of him my man goes into heartbroken",[],2023-07-30T14:35:48Z,@Sawmte964
Bro literally said Mike is a human pitbull like wtf haha and the gangsta paradise is so matching with Tyson vibe haha,[],2023-07-30T14:23:36Z,@Sawmte964
"The Devil has two horns, named Robin Givens and Don King.",[],2023-07-20T17:40:23Z,@aamake547
Jedan jedini Mike Tyson.🎉,[],2023-07-07T22:06:07Z,@sasarodusek531
Ns areal my fon & pic..no nice game's...,[],2023-06-24T20:00:01Z,@NoorMan-nu8bj
ism from marocc (berber)I like you brother 😊,[],2023-05-11T22:13:36Z,@mohamedidrir5899
"the wife it's hoor,BCS she have a great 👍 men😅",[],2023-05-11T22:12:13Z,@mohamedidrir5899
"Hello guys, what is the name of the song starts at 0:59? thank you","[""Hello, sorry you had to wait a year for a reply, but i think the answer is coolios - gangsta's paradise. Original beat taken from stevie Wonders-  Pastime paradise.\n\nYou're welcome.""]",2023-04-26T13:03:16Z,@michaelruben8680
Top 3 greatest hw for me are Jack Dempsey Jack Johnson and Marciano... Ali and Marciano could swap back and forth,[],2023-04-18T12:16:28Z,@ajfromcjbasements6574
I thought Jack Dempsey was the youngest champ,['Nope'],2023-04-18T12:15:22Z,@ajfromcjbasements6574
Don King screwed Mikes career. Nobody can tell me otherwise,[],2023-04-13T12:56:07Z,@dom2760
God bless change and Repent in Jesus name 🙏 🙏 🙏  Jesus is coming 🙏 🙏 🙏,[],2023-04-05T02:22:09Z,@marvinstamps1351
God bless change and Repent in Jesus name 🙏 🙏 🙏  Jesus is coming 🙏 🙏 🙏,[],2023-04-05T02:22:04Z,@marvinstamps1351
God bless change and Repent in Jesus name 🙏 🙏 🙏  Jesus is coming 🙏 🙏 🙏,[],2023-04-05T02:21:57Z,@marvinstamps1351
God bless change and Repent in Jesus name 🙏 🙏 🙏  Jesus is coming 🙏 🙏 🙏,[],2023-04-05T02:21:51Z,@marvinstamps1351
Mike the greatest . . . imprisoned because of conspiracy . . .,[],2023-03-31T17:13:28Z,@nelganz
That guys face at 4:26 after one hit says everything you need to know.,[],2023-03-25T13:47:44Z,@SerWhiskeyfeet
This video was insanely good. So detailed and complex.,[],2023-03-17T14:15:47Z,@N0skGaming
When Tyson became a Muslim or made him weak too!,[],2023-02-22T17:56:56Z,@Hollyweirdification
